City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Lorengau,PG,-2.0226,147.2712,85.15,66,96,9.98,moderate rain
154,Coyhaique,CL,-45.5752,-72.0662,41.0,93,40,6.91,scattered clouds
155,Alihe,CN,50.5667,123.7167,47.37,21,94,7.0,overcast clouds
156,Morant Bay,JM,17.8815,-76.4093,80.6,74,20,5.75,few clouds
157,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.4,66,64,11.18,broken clouds
158,Petauke,ZM,-14.2426,31.3253,58.87,91,9,5.61,clear sky
159,Itarema,BR,-2.9248,-39.9167,75.72,89,17,4.76,few clouds
160,Port Alfred,ZA,-33.5906,26.891,66.07,80,1,19.55,clear sky
161,Meadow Lake,US,34.8014,-106.5436,64.4,9,75,5.75,broken clouds
162,Waipawa,NZ,-41.4122,175.5153,64.4,68,75,17.27,moderate rain
163,Kaitangata,NZ,-46.2817,169.8464,57.99,75,100,5.01,overcast clouds
164,Kloulklubed,PW,7.0419,134.2556,86.0,70,75,9.22,broken clouds
165,Dosso,NE,13.049,3.1937,86.13,18,69,6.62,broken clouds
166,Nānākuli,US,21.3906,-158.1547,80.6,50,75,8.05,broken clouds
167,Huarmey,PE,-10.0681,-78.1522,68.25,85,1,9.31,clear sky
168,Horsham,GB,51.064,-0.3272,36.0,100,0,2.3,clear sky
169,Arman',RU,59.7,150.1667,32.67,98,100,7.94,snow
170,Bay City,US,43.5945,-83.8889,39.0,48,1,6.91,clear sky
171,Lavrentiya,RU,65.5833,-171.0,32.79,71,100,1.3,overcast clouds
172,Lakatoro,VU,-16.0999,167.4164,84.87,72,28,11.25,scattered clouds
173,Davila,PH,18.4726,120.5763,82.4,74,20,8.05,few clouds
174,Severo-Kuril'sk,RU,50.6789,156.125,35.4,92,82,3.38,broken clouds
175,Ponta do Sol,PT,32.6667,-17.1,60.01,86,81,5.01,broken clouds
176,Zhirnovsk,RU,50.9845,44.7735,51.73,72,79,5.28,broken clouds
177,Hong Kong,HK,22.2855,114.1577,89.01,64,0,7.0,clear sky
178,Lieksa,FI,63.3167,30.0167,32.72,99,100,4.47,snow
179,Sakakah,SA,29.9697,40.2064,71.6,20,20,6.91,few clouds
180,Ilulissat,GL,69.2167,-51.1,26.6,68,18,4.61,few clouds
181,Guerrero Negro,MX,27.9769,-114.0611,59.34,74,0,17.45,clear sky
182,Lompoc,US,34.6391,-120.4579,51.8,82,19,6.91,few clouds
183,Klyuchi,RU,52.2667,79.1667,40.5,42,0,13.69,clear sky
184,Sibiti,CG,-3.6819,13.3499,67.98,99,100,0.69,moderate rain
185,Dalvik,IS,65.9702,-18.5286,35.6,93,0,4.14,clear sky
186,Tarauacá,BR,-8.1614,-70.7656,72.07,97,54,1.68,broken clouds
187,Fallon,US,39.4735,-118.7774,64.4,11,20,9.22,few clouds
188,Arraial do Cabo,BR,-22.9661,-42.0278,72.97,77,8,21.63,clear sky
189,Ambilobe,MG,-13.2,49.05,74.98,84,99,2.86,overcast clouds
190,Kultuk,RU,51.7208,103.6956,36.34,60,100,3.4,overcast clouds
191,Paamiut,GL,61.994,-49.6678,31.53,81,16,2.3,few clouds
192,Cape Town,ZA,-33.9258,18.4232,57.2,94,20,11.5,few clouds
193,Buala,SB,-8.145,159.5921,84.61,70,98,6.06,light rain
194,Mar del Plata,AR,-38.0023,-57.5575,68.0,1,99,8.01,light rain
195,Gamba,GA,-2.65,10.0,75.04,87,100,5.3,overcast clouds
196,Santa Maria,BR,-29.6842,-53.8069,64.4,88,0,8.05,clear sky
197,Praia,CV,14.9215,-23.5087,68.0,77,0,16.11,clear sky
198,Ust'-Uda,RU,54.1742,103.0304,39.42,36,74,5.61,broken clouds
199,Faanui,PF,-16.4833,-151.75,81.5,71,11,13.27,few clouds
200,Sukhinichi,RU,54.0999,35.3425,45.54,88,67,11.48,moderate rain
201,Santa Vitória do Palmar,BR,-33.5189,-53.3681,65.53,80,95,11.14,overcast clouds
202,Abhā,SA,18.2164,42.5053,55.4,44,0,2.48,clear sky
203,East London,ZA,-33.0153,27.9116,60.8,88,0,5.75,clear sky
204,Beira,MZ,-19.8436,34.8389,69.8,83,20,3.69,few clouds
205,Srednekolymsk,RU,67.45,153.6833,20.05,77,88,8.52,overcast clouds
